"N","n_reps","Tfull","rho","beta_bias","omega_bias","rho_bias"
5,100,5,0.9,0.198191144587241,-0.244358890759423,-0.327283083250095
10,100,5,0.9,0.0839489237666353,-0.188387711757602,-0.247843339288317
20,100,5,0.9,0.0304718551456095,-0.026283897689521,-0.125747321802035
30,100,5,0.9,0.00734083117913208,-0.0426455386407519,-0.0949794887772621
40,100,5,0.9,0.0187603079611303,-0.00635721247706668,-0.0752632357336921
50,100,5,0.9,0.0216492364308654,0.00405140695131828,-0.0525482965309359
100,100,5,0.9,0.00467733416528839,0.00568271525218366,-0.025856637211971
200,100,5,0.9,-0.00331021584099775,0.00461643926575365,-0.0145666312249377
500,100,5,0.9,-0.00749067150721762,0.00346462297621924,-0.00725677505621974
5,100,5,0.5,0.136673025323702,-0.172276089094617,-0.119957204015605
10,100,5,0.5,0.0747355282560121,-0.0976441236216768,-0.142121840210802
20,100,5,0.5,0.0262362023949709,-0.0182293208845949,-0.0372801942488652
30,100,5,0.5,0.0136687483742986,-0.0260684521877471,-0.0110925510499578
40,100,5,0.5,0.0168675139416762,-0.00274580700037796,-0.0320378305423885
50,100,5,0.5,0.0200170276710484,0.00869073174395176,-0.000354686739314294
100,100,5,0.5,0.00211943671496204,-0.000919019369761855,0.0068906758892561
200,100,5,0.5,0.0029792235115978,-0.00398264893325084,0.0243409428268665
500,100,5,0.5,-0.00425557602738497,-0.000850940968761937,8.66146185882938e-05
5,100,5,0.25,0.0791647611782854,0.128769199819308,-0.0631926953076258
10,100,5,0.25,0.0808165214964911,-0.127219109801611,-0.0315560632294221
20,100,5,0.25,0.0373415241942823,-0.00110571765749458,0.0239988474642147
30,100,5,0.25,0.0172565992609305,-0.0137780152099939,-0.00871197616905204
40,100,5,0.25,0.0100855870198661,-0.00513275906704271,-0.0186654118869637
50,100,5,0.25,0.0120433846626249,0.00500971345753099,0.0115163305432124
100,100,5,0.25,-0.00213760367813367,-0.0010188571406054,0.00714316517205643
200,100,5,0.25,0.000558182846174288,-0.00210727870310165,0.0167210424037056
500,100,5,0.25,-0.00467628678287693,-0.000753851693605877,-0.0056932447552862
5,100,5,0,0.213343287953943,0.214384230171006,0.0635676667158233
10,100,5,0,0.0984519249789296,-0.0670145680352631,0.0635772268978827
20,100,5,0,0.0333614229908325,0.00803125661564609,0.0490225311896536
30,100,5,0,0.0212463864610165,-0.00858798823964595,0.025793257703144
40,100,5,0,0.0120915567012286,0.00327318949328774,0.00614916384708246
50,100,5,0,0.018344535752592,0.00990311536268919,0.011549527502458
100,100,5,0,0.00549086020410925,0.0045421794252066,0.00387016810277167
200,100,5,0,0.00266785684019078,-0.000784720361752735,0.00789528015403152
500,100,5,0,-0.00337937686878166,-0.000218840550784598,0.00620846300513833
5,100,5,-0.25,0.312291260513869,-0.0763752301948288,0.178666024837528
10,100,5,-0.25,0.107478005989955,-0.0570682851881439,0.13228757461979
20,100,5,-0.25,0.0258530931075232,-0.00482526224771138,0.0989120053489455
30,100,5,-0.25,0.00226329405370414,-0.0221640318327491,0.0629855254727489
40,100,5,-0.25,0.00900676181049456,-0.0031813079737538,0.0321386988931833
50,100,5,-0.25,0.0156957768751821,0.00805000252083692,0.0295682984442237
100,100,5,-0.25,-0.000654296141908326,-3.20012844204087e-05,0.0101266015233309
200,100,5,-0.25,0.00076034998331159,-0.00327228775450771,0.00892792929061158
500,100,5,-0.25,-0.00600128065005227,-0.000965989982251864,0.00860320069901817
5,100,5,-0.5,0.403955722704586,-0.00281669644063266,0.239089591277087
10,100,5,-0.5,0.0737009849280353,-0.0556810614994576,0.158786086913494
20,100,5,-0.5,0.0144715977448409,-0.0156132039161864,0.0957358228228515
30,100,5,-0.5,-0.00618096693754748,-0.0312333767247652,0.0655895931765671
40,100,5,-0.5,-0.00302500200803337,-0.0132241196769461,0.0400981811042675
50,100,5,-0.5,0.00693136024737122,0.00208367381388889,0.039901727828629
100,100,5,-0.5,-0.00130060353667702,-0.00136642666464676,0.0145205453554127
200,100,5,-0.5,0.00354186171446735,-0.00116471814008403,0.00565228591526394
500,100,5,-0.5,-0.00466665693753284,-0.000876636836399717,0.00623515007328801
5,100,5,-0.9,0.464652298523136,0.0429070566211253,0.113091398701496
10,100,5,-0.9,0.137678554902568,-0.0264486567741326,0.0520754432969098
20,100,5,-0.9,0.0492283509771634,-0.00844165947487504,0.02037332219521
30,100,5,-0.9,0.0137156059887646,-0.028329869265496,0.0141593143012934
40,100,5,-0.9,0.00427472624165799,-0.0189859142014949,0.00764652099132891
50,100,5,-0.9,0.0213803875154965,0.00632062277400445,0.00484105889708213
100,100,5,-0.9,0.00788592845026251,0.00449099355432331,0.00213593590925093
200,100,5,-0.9,0.0067229718240169,0.00374675270764191,-0.00039887391143377
500,100,5,-0.9,-0.00279759573433969,-0.000348150910819622,0.00104299863140317
